This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.33, 14.28, 2.1217, 110
0.34, 13.74, 2.3092, 110

Processor time: 11.309.

p, N(p), SD, size.

0.05, 12.09, 6.74847, 115
0.06, 27.8, 52.1045, 115
0.07, 96.7, 145.875, 115
0.08, 232.42, 154.211, 115
0.09, 254.22, 72.652, 115
0.1, 180.38, 31.7785, 115
0.11, 132.97, 22.6281, 115
0.12, 103.71, 16.9772, 115
0.13, 84.44, 14.1395, 115
0.14, 70.21, 11.9217, 115
0.15, 59.85, 8.22967, 115
0.16, 51.78, 7.47741, 115
0.17, 47.09, 6.92112, 115
0.18, 40.32, 6.32753, 115
0.19, 36.4, 4.77074, 115
0.2, 33.47, 4.05821, 115
0.21, 30.54, 4.83202, 115
0.22, 28.81, 4.22302, 115
0.23, 26.33, 3.44399, 115
0.24, 24.04, 3.6876, 115
0.25, 22.83, 3.66894, 115
0.26, 20.98, 3.50708, 115
0.27, 20.23, 3.02607, 115
0.28, 18.62, 2.87673, 115
0.29, 17.59, 2.40456, 115
0.3, 17.23, 2.36582, 115
0.31, 15.81, 2.148, 115
0.32, 15.46, 2.47152, 115
0.33, 14.97, 2.32575, 115
0.34, 13.64, 1.95714, 115

Processor time: 12.532.

p, N(p), SD, size.

0.05, 12.44, 6.93732, 120
0.06, 27.94, 57.6159, 120
0.07, 107.72, 158.28, 120
0.08, 242.93, 158.034, 120
0.09, 253.02, 59.8747, 120
0.1, 181.44, 34.7411, 120
0.11, 135.58, 22.45, 120
0.12, 103.06, 19.0635, 120
0.13, 81.72, 12.631, 120
0.14, 70.99, 10.3455, 120
0.15, 58.73, 8.87339, 120
0.16, 51.38, 7.2205, 120
0.17, 45.63, 6.75671, 120
0.18, 40.74, 5.91375, 120
0.19, 36.78, 5.70014, 120
0.2, 33.8, 4.55412, 120
0.21, 30.16, 3.91592, 120
0.22, 28.56, 4.36651, 120
0.23, 25.99, 3.76695, 120
0.24, 24.44, 3.46214, 120
0.25, 23.16, 3.88515, 120
0.26, 20.99, 3.32113, 120
0.27, 20.33, 3.33183, 120
0.28, 19.38, 3.16474, 120
0.29, 17.69, 2.90756, 120
0.3, 17.24, 2.54998, 120
0.31, 16.13, 2.28322, 120
0.32, 15.36, 2.29138, 120
0.33, 14.59, 2.19132, 120
0.34, 14.23, 1.90187, 120

Processor time: 13.723.

p, N(p), SD, size.

0.05, 12, 6.23217, 125
0.06, 29.62, 64.0713, 125
